"archetype","rank","gene","cor","n_cells_used"
"A5",84,"HNRNPA0",0.483696848865664,13245
"A5",85,"RAD50",0.483666688721009,13245
"A5",86,"UCP2",0.483610695514774,13245
"A5",87,"MGST1",0.482602553912995,13245
"A5",88,"TRABD2A",0.482171733064108,13245
"A5",89,"ABCC4",0.48165862555974,13245
"A5",90,"ATIC",0.480152377634975,13245
"A5",91,"ADH5",0.478515430670477,13245
"A5",92,"SYNE2",0.478308751775161,13245
"A5",93,"EIF3H",0.478192537296326,13245
"A5",94,"CCT5",0.477416715296321,13245
"A5",95,"CCT8",0.476791936790711,13245
"A5",96,"EPHB2",0.476121733649684,13245
"A5",97,"PPM1H",0.474530673712454,13245
"A5",98,"RCN2",0.47327550423512,13245
"A5",99,"C1QBP",0.473190221443466,13245
"A5",100,"IMPDH2",0.472744402893746,13245
